text,risk
"I am feeling great today!","low"
"Everything is going well.","low"
"I had a nice lunch with friends.","low"
"I'm enjoying my new hobby.","low"
"The weather is beautiful and I feel peaceful.","low"
"I feel productive and energetic.","low"
"Life is good right now.","low"
"I love spending time with my family.","low"
"I'm looking forward to the weekend.","low"
"I feel calm and relaxed.","low"
"I'm excited about my new job.","low"
"I had a wonderful day at the park.","low"
"I feel confident and ready to face the day.","low"
"I am a bit stressed about my exams.","medium"
"I feel overwhelmed with work.","medium"
"I haven't been sleeping well lately.","medium"
"I'm feeling anxious about the upcoming presentation.","medium"
"There's too much on my plate right now.","medium"
"I feel tired and unmotivated today.","medium"
"I'm worried about my financial situation.","medium"
"I've been feeling a bit down this week.","medium"
"I'm struggling to balance work and life.","medium"
"I feel easily irritated lately.","medium"
"I get nervous in social situations.","medium"
"I'm not sure if I'm making the right decisions.","medium"
"I feel a lot of pressure from my peers.","medium"
"I feel very lonely and sad.","high"
"I don't see any hope for the future.","high"
"I am having dark thoughts.","high"
"I just want to give up.","high"
"I feel like I'm drowning and can't breathe.","high"
"No one cares about me, I'm completely alone.","high"
"I wish I could just disappear forever.","high"
"I can't take this pain anymore.","high"
"Every day is a struggle to stay alive.","high"
"I hate myself and my life.","high"
"I feel trapped and there is no way out.","high"
"I'm overwhelmed with despair and can't go on.","high"
"There's no point in trying anymore.","high"
"I want to end it all.","high"
